dataset	nway	kshot	kquery	n_problems	classifier_type	hidden_size	num_epochs	acc	acc_ci95	recall	recall_ci95	train_time	train_time_ci95	test_time	test_time_ci95
postera	2	16	20	50	HD-Kron	8192	0	58.0	1.9303761291520365	0.4039999999999999	0.035587900865322195	3.6287307739257814e-06	4.028552402688457e-08	0.0019600963592529296	6.593309922880097e-06
postera	2	16	20	50	L1	0	0	58.65	1.834511836974621	0.37300000000000005	0.04178157335476968	3.227710723876953e-05	3.8577396999025303e-07	0.0017409706115722656	1.12065331972666e-05
postera	2	16	20	50	L2	0	0	60.35	1.742141234228729	0.419	0.04355347572812072	3.221988677978515e-05	3.650953277500909e-07	0.0017356204986572266	5.389463671954459e-06
postera	2	16	20	50	cosine	0	0	60.2	2.347258554143535	0.61	0.03394819582834999	3.285884857177734e-05	5.750172906314206e-07	0.0018741226196289063	6.717742255490364e-06
postera	2	16	20	50	MLP	512	5	59.5	2.213151598964698	0.49699999999999994	0.04715500940515228	0.00974062442779541	0.0001521867247794787	0.001712350845336914	3.872591735789774e-05
postera	2	16	20	50	Uniform	0	0	0.49400000000000005	0.018828246014963794	0.49499999999999994	0.030014249948982562			0.0008738613128662109	1.547125782074984e-05
postera	2	32	20	50	HD	8192	0	61.5	1.4133760999818836	0.361	0.028711156855828715	9.942054748535157e-06	1.7004727580173158e-06	0.0025137662887573242	0.00024620232941179987
postera	2	32	20	50	HD-Sparse	8192	0	61.3	1.5510028755614864	0.299	0.03042611983148689	8.149147033691406e-06	8.981596641676146e-07	0.0022502565383911133	4.816969273309397e-05
postera	2	32	20	50	HD-Kron	8192	0	59.35	1.6792636719705456	0.33799999999999997	0.0310596618139992	3.7384033203125e-06	4.6617754497807035e-08	0.0019419288635253906	5.027960677903091e-06
postera	2	32	20	50	L1	0	0	61.55	2.0078762710884352	0.4629999999999999	0.03737489253496256	3.9834976196289065e-05	1.0412174727201334e-06	0.0016395235061645507	9.083854775227649e-06
postera	2	32	20	50	L2	0	0	62.85	1.9698243779586033	0.48100000000000004	0.04034839833252368	3.9625167846679685e-05	8.286911143763607e-07	0.0016407203674316407	2.5362814295157398e-06
postera	2	32	20	50	cosine	0	0	59.55	2.049535927960278	0.6309999999999999	0.034719119343669995	4.055500030517578e-05	1.1358572669764706e-06	0.0017711162567138673	3.5376585877971455e-06
postera	2	32	20	50	MLP	512	5	60.95	2.0457837422367007	0.42700000000000005	0.04103942338776216	0.010085673332214355	9.027513712632794e-05	0.0016667938232421875	5.309387608315776e-06
postera	2	32	20	50	Uniform	0	0	0.4965	0.020274871343611528	0.511	0.02789679780906762			0.0010356330871582032	3.341967388739302e-06
postera	2	64	20	50	HD	8192	0	61.25	1.698823710689252	0.316	0.03104481612121418	7.872581481933594e-06	8.781757270039751e-07	0.00222320556640625	2.8902382206516228e-05
postera	2	64	20	50	HD-Sparse	8192	0	62.1	1.3745176899552802	0.28600000000000003	0.024486668372810542	7.719993591308594e-06	8.250879294208087e-07	0.0021944522857666017	4.05695633756743e-05
postera	2	64	20	50	HD-Kron	8192	0	60.75	1.5572443610429287	0.302	0.02743439942845478	3.6001205444335937e-06	2.7952221870734054e-07	0.0018974113464355468	2.126962359690673e-05
postera	2	64	20	50	L1	0	0	63.45	2.036373030660149	0.477	0.02962259732028911	4.0798187255859376e-05	1.5794831450684528e-06	0.0016177892684936523	2.8691068075295784e-05
postera	2	64	20	50	L2	0	0	63.3	1.902512948707577	0.489	0.03001936921389255	4.126548767089844e-05	1.6947403187826533e-06	0.001633000373840332	3.225420868603493e-05
postera	2	64	20	50	cosine	0	0	60.1	2.050800741174042	0.612	0.025937251049407677	4.185676574707031e-05	2.18761128090394e-06	0.0017836141586303712	4.061989495557927e-05
postera	2	64	20	50	MLP	512	5	61.95	1.8191608834844704	0.4089999999999999	0.035027563546441536	0.00989363193511963	8.680994845888519e-05	0.0016851806640625	3.640293474527191e-05
postera	2	64	20	50	Uniform	0	0	0.4935	0.0179535358077455	0.49699999999999994	0.03225495484417859			0.0011229228973388672	4.087899509845084e-05
postera	2	-1	20	50	HD	8192	0	60.85	1.2972327778775867	0.266	0.020824019976940084	7.519721984863281e-06	6.064414429128436e-07	0.00223358154296875	3.2340811959735055e-05
postera	2	-1	20	50	HD-Sparse	8192	0	62.55	1.104316947257444	0.26100000000000007	0.022737689592392626	7.662773132324219e-06	6.905947606821155e-07	0.002190389633178711	1.313091456261007e-05
postera	2	-1	20	50	HD-Kron	8192	0	61.1	1.4677769857849658	0.28099999999999997	0.022670007675340564	5.130767822265625e-06	8.279529532830464e-08	0.0021308040618896484	8.371869823567223e-06
postera	2	-1	20	50	L1	0	0	64.35	1.6031913422919923	0.594	0.020300907565919308	5.690574645996094e-05	1.62289552260484e-06	0.003612818717956543	6.378063354254699e-05
postera	2	-1	20	50	L2	0	0	63.75	1.9216498120105026	0.5800000000000001	0.027579644667761763	5.669116973876953e-05	1.8185752004137105e-06	0.003558650016784668	5.505162403558623e-06
postera	2	-1	20	50	cosine	0	0	59.05	1.5916479258931604	0.67	0.029071498069415	5.5789947509765625e-05	1.2962344115168832e-06	0.002046031951904297	3.043770929728054e-06
postera	2	-1	20	50	MLP	512	5	63.55	1.5313734750216876	0.47800000000000004	0.023217521659298603	0.011935858726501465	8.121896189158997e-05	0.0018232250213623047	7.7034510695495e-06
postera	2	-1	20	50	Uniform	0	0	0.49900000000000005	0.021558218108183244	0.49	0.03123725980299808			0.0009603595733642578	2.5249780450555567e-06
